,id,sentence,dataset,num_flips
9,32.1.martin.20a.*.02,They appear to that Chris is the right person for the job.,LI,48
10,32.1.martin.20a.*.03,She seems to that Garrett should be punished for lying.,LI,42
11,32.1.martin.20a.*.04,I appear to that Data is an unsafe driver.,LI,2
12,32.1.martin.20a.*.05,I seem to that Robert can't be trusted.,LI,40
37,32.1.martin.23a.g.06,Charles believed Faith to be unhappy.,LI,2
50,32.1.martin.26a.??.03,Susan attempted to have performed a backflip.,LI,92
52,32.1.martin.26a.??.05,Sarah hoped to have gone to the party.,LI,92
53,32.1.martin.26a.??.06,Scott intended to have run for class president.,LI,28
54,32.1.martin.26a.??.07,Vanessa refused to have taken out the garbage.,LI,2
55,32.1.martin.26a.??.08,Michael managed to have driven his car.,LI,30
56,32.1.martin.26b.??.01,Sarah convinced Bill to have gone to the party.,LI,64
57,32.1.martin.26b.??.02,Joe convinced Sue to have eaten her lunch.,LI,106
58,32.1.martin.26b.??.03,Juan convinced Maria to have finished her shopping.,LI,92
59,32.1.martin.26b.??.04,Betty convinced Fred to have washed the car.,LI,98
60,32.1.martin.26b.??.05,Cindy convinced Charles to have gone to the bank.,LI,98
61,32.1.martin.26b.??.06,Debra convinced Elliot to have washed the dishes.,LI,102
62,32.1.martin.26b.??.07,Elaine convinced Francis to have taken a shower.,LI,102
63,32.1.martin.26b.??.08,Mindy convinced George to have finished the novel.,LI,100
80,32.1.martin.2c.*.01,Sarah saw pictures of.,LI,50
81,32.1.martin.2c.*.02,Jimmy saw baskets of.,LI,40
82,32.1.martin.2c.*.03,Brittany touched plenty of.,LI,6
83,32.1.martin.2c.*.04,Frank ate mountains of.,LI,106
84,32.1.martin.2c.*.05,Kat kept tons of.,LI,2
85,32.1.martin.2c.*.06,Phillip saw movies of.,LI,96
86,32.1.martin.2c.*.07,Vivian wrote stories of.,LI,102
87,32.1.martin.2c.*.08,Tommy pictured memories of.,LI,26
89,32.1.martin.39a.*.02,Anthony believed Dawn to hit the ball.,LI,4
90,32.1.martin.39a.*.03,Charlene believed Shawn to write the paper.,LI,52
91,32.1.martin.39a.*.04,Marty believed Carla to fix the computer.,LI,14
92,32.1.martin.39a.*.05,Jessica believed Brad to start the car.,LI,2
93,32.1.martin.39a.*.06,Charles believed Faith to smash the bag.,LI,94
94,32.1.martin.39a.*.07,Lacey believed John to eat the food.,LI,12
95,32.1.martin.39a.*.08,Victor believed Dana to throw the trash.,LI,44
106,32.1.martin.65b.*.03,Bill heard from Sarah their boss was fired.,LI,16
108,32.1.martin.65b.*.05,Thomas read in the paper the stock market crashed.,LI,24
110,32.1.martin.65b.*.07,David learned from the internet Lindsay Lohan is back in rehab.,LI,82
120,32.1.martin.66b.*.01,It is illegal one to criticize the government.,LI,8
124,32.1.martin.66b.*.05,It is silly one to sing in the shower.,LI,18
126,32.1.martin.66b.*.07,It is normal one to be afraid of the dentist.,LI,86
127,32.1.martin.66b.*.08,It is unfair one to judge the less fortunate.,LI,112
136,32.1.martin.69b.*.01,My belief Kim is clever is sincere.,LI,78
144,32.1.martin.77.g.01,How likely to win the race is John?,LI,34
145,32.1.martin.77.g.02,How likely to get the promotion is Elizabeth?,LI,78
146,32.1.martin.77.g.03,How likely to win the election is Kristin?,LI,2
147,32.1.martin.77.g.04,How likely to buy the car is Sam?,LI,90
148,32.1.martin.77.g.05,How likely to sell the house is Diane?,LI,72
149,32.1.martin.77.g.06,How likely to pass the class is Alex?,LI,78
150,32.1.martin.77.g.07,How likely to break the record is Ellen?,LI,92
151,32.1.martin.77.g.08,How likely to take the job is Nancy?,LI,92
152,32.1.martin.79.*.01,How likely to be a riot is there?,LI,52
153,32.1.martin.79.*.02,How likely to be a meeting is there?,LI,80
154,32.1.martin.79.*.03,How likely to be a strike is there?,LI,44
155,32.1.martin.79.*.04,How likely to be a party is there?,LI,92
156,32.1.martin.79.*.05,How likely to be a stock market crash is there?,LI,22
157,32.1.martin.79.*.06,How likely to be a storm is there?,LI,88
158,32.1.martin.79.*.07,How likely to be an earthquake is there?,LI,58
159,32.1.martin.79.*.08,How likely to be a tornado is there?,LI,42
168,32.1.martin.93b.*.01,John is illegal to park here.,LI,22
169,32.1.martin.93b.*.02,Linda is possible to pass the test.,LI,28
170,32.1.martin.93b.*.03,Steven is necessary to go for a walk.,LI,56
174,32.1.martin.93b.*.07,Dylan was planned to write the computer program.,LI,8
175,32.1.martin.93b.*.08,Carla was hoped to graduate high school.,LI,40
179,32.2.alexiadou.31a.*.04,"Ready, aim, fire! directed strictly the army sergeant.",LI,34
181,32.2.alexiadou.31a.*.06,Stop bullying me! shouted fearfully the overweight child.,LI,88
185,32.2.alexiadou.31b.g.02,Wait one moment please! asked the voice recording kindly.,LI,96
186,32.2.alexiadou.31b.g.03,This just in! interrupted the radio announcer hastily.,LI,76
187,32.2.alexiadou.31b.g.04,"Ready, aim, fire! directed the army sergeant strictly.",LI,10
192,32.2.boeckx.11.*.01,"Debbie ate chocolate, and Kathy milk drank.",LI,72
194,32.2.boeckx.11.*.03,"Jack washed the dishes, and Kate the laundry folded.",LI,72
195,32.2.boeckx.11.*.04,"Laura set the table, and Sharon the cake baked.",LI,6
196,32.2.boeckx.11.*.05,"Mark turned on the TV, and Penny the DVD player loaded.",LI,36
197,32.2.boeckx.11.*.06,"Jason drove his car, and Tara her bike rode.",LI,2
199,32.2.boeckx.11.*.08,"Heather dusted the shelves, and Madison the carpet vacuumed.",LI,84
217,32.2.nunes.3a2.g.02,The book was read.,LI,88
266,32.2.stroik.13b.*.03,They all have finished and they have done all so efficiently.,LI,6
268,32.2.stroik.13b.*.05,They all have practiced and they have done all so regularly.,LI,6
269,32.2.stroik.13b.*.06,They all have studied and they have done all so effectively.,LI,6
270,32.2.stroik.13b.*.07,They all have spoken and they have done all so eloquently.,LI,2
271,32.2.stroik.13b.*.08,They all have listened and they have done all so intently.,LI,28
304,32.3.Culicover.15bii.*.01,John flattered Mary while insulting herself.,LI,96
305,32.3.Culicover.15bii.*.02,Amber called Anthony after injuring himself.,LI,14
306,32.3.Culicover.15bii.*.03,Tim complimented Hannah after introducing herself.,LI,22
307,32.3.Culicover.15bii.*.04,Tina aggravated Ethan while amusing himself.,LI,2
308,32.3.Culicover.15bii.*.05,Natalie surprised Jared while boring himself.,LI,92
309,32.3.Culicover.15bii.*.06,Dale found Brooke after frightening herself.,LI,96
310,32.3.Culicover.15bii.*.07,Molly avoided Keith after embarrassing himself.,LI,42
315,32.3.Culicover.15bii.g.04,Tina aggravated Ethan while amusing herself.,LI,34
317,32.3.Culicover.15bii.g.06,Dale found Brooke after frightening himself.,LI,66
320,32.3.Culicover.22b.*.01,John told Sue when to wash himself.,LI,32
324,32.3.Culicover.22b.*.05,Stewart told Tina when to burn himself.,LI,104
326,32.3.Culicover.22b.*.07,Patty told Mike when to insult herself.,LI,72
327,32.3.Culicover.22b.*.08,Olivia told Gregory when to exonerate herself.,LI,4
328,32.3.Culicover.22b.g.01,John told Sue when to wash herself.,LI,18
330,32.3.Culicover.22b.g.03,Mindy told Chuck when to praise herself.,LI,90
332,32.3.Culicover.22b.g.05,Stewart told Tina when to burn herself.,LI,16
334,32.3.Culicover.22b.g.07,Patty told Mike when to insult himself.,LI,18
338,32.3.Culicover.25d.*.03,Last week there was a request to transfer oneself.,LI,6
339,32.3.Culicover.25d.*.04,Last year there was a proposal to fire oneself.,LI,18
343,32.3.Culicover.25d.*.08,Last Friday there was an order to transfer oneself.,LI,4
352,32.3.Culicover.28c.*.01,Helen examined Bernie in order for us to vindicate herself.,LI,84
353,32.3.Culicover.28c.*.02,Nathan called Samantha in order for us to amuse himself.,LI,26
354,32.3.Culicover.28c.*.03,Austin left instructions in order for us to help himself.,LI,44
357,32.3.Culicover.28c.*.06,Edward created a website in order for us to promote himself.,LI,2
358,32.3.Culicover.28c.*.07,Cynthia threw a party in order for us to establish herself.,LI,2
368,32.3.Culicover.32a.*.01,John's promise to Susan to take care of herself.,LI,8
369,32.3.Culicover.32a.*.02,Erica's vow to Matt to take care of himself.,LI,26
370,32.3.Culicover.32a.*.03,Ryan's offer to Susan to take care of herself.,LI,84
371,32.3.Culicover.32a.*.04,Natalie's guarantee to Robert to take care of himself.,LI,8
372,32.3.Culicover.32a.*.05,Ethan's obligation to Patricia to take care of herself.,LI,16
373,32.3.Culicover.32a.*.06,Debbie's pledge to Jason to take care of himself.,LI,94
374,32.3.Culicover.32a.*.07,Carl's pledge to Jenny to take care of herself.,LI,102
375,32.3.Culicover.32a.*.08,Melissa's pledge to Dan to take care of himself.,LI,60
376,32.3.Culicover.32a.g.01,John's promise to Susan to take care of himself.,LI,26
377,32.3.Culicover.32a.g.02,Erica's vow to Matt to take care of herself.,LI,114
378,32.3.Culicover.32a.g.03,Ryan's offer to Susan to take care of himself.,LI,36
380,32.3.Culicover.32a.g.05,Ethan's obligation to Patricia to take care of himself.,LI,8
381,32.3.Culicover.32a.g.06,Debbie's pledge to Jason to take care of herself.,LI,100
382,32.3.Culicover.32a.g.07,Carl's pledge to Jenny to take care of himself.,LI,72
383,32.3.Culicover.32a.g.08,Melissa's pledge to Dan to take care of herself.,LI,94
384,32.3.Culicover.41b.*.01,Toby said to Sally to take care of himself.,LI,84
385,32.3.Culicover.41b.*.02,Veronica shouted to Nathan to look after herself.,LI,104
387,32.3.Culicover.41b.*.04,Stacey screamed to Anthony to cover herself.,LI,2
388,32.3.Culicover.41b.*.05,Brent signaled to Samantha to excuse himself.,LI,42
389,32.3.Culicover.41b.*.06,Amy said to Shane to entertain herself.,LI,16
390,32.3.Culicover.41b.*.07,Eric shouted to Maria to believe in himself.,LI,8
391,32.3.Culicover.41b.*.08,Tania signaled to Frank to behave herself.,LI,16
393,32.3.Culicover.41b.g.02,Veronica shouted to Nathan to look after himself.,LI,86
394,32.3.Culicover.41b.g.03,Christopher yelled to April to protect herself.,LI,16
396,32.3.Culicover.41b.g.05,Brent signaled to Samantha to excuse herself.,LI,8
398,32.3.Culicover.41b.g.07,Eric shouted to Maria to believe in herself.,LI,12
399,32.3.Culicover.41b.g.08,Tania signaled to Frank to behave himself.,LI,28
403,32.3.Culicover.49a.*.04,Eva beseeched Luke to be allowed to take care of himself.,LI,2
408,32.3.Culicover.49a.g.01,Jack asked Sally to be allowed to take care of himself.,LI,12
409,32.3.Culicover.49a.g.02,Beth begged Peter to be allowed to take care of herself.,LI,92
410,32.3.Culicover.49a.g.03,Dean requested Michelle to be allowed to take care of himself.,LI,6
411,32.3.Culicover.49a.g.04,Eva beseeched Luke to be allowed to take care of herself.,LI,16
414,32.3.Culicover.49a.g.07,Katie asked Greg to be allowed to take care of herself.,LI,22
424,32.3.Culicover.7b.*.01,John tried himself to win.,LI,14
425,32.3.Culicover.7b.*.02,Kelly attempted herself to run the marathon.,LI,68
427,32.3.Culicover.7b.*.04,Linda remembered herself to pick-up the dry cleaning.,LI,86
428,32.3.Culicover.7b.*.05,Peter hoped himself to find a date.,LI,72
429,32.3.Culicover.7b.*.06,Patricia agreed herself to host the party.,LI,78
430,32.3.Culicover.7b.*.07,Alex started himself to study Karate.,LI,60
432,32.3.fanselow.28b.*.01,He saw Mary and kissed.,LI,80
433,32.3.fanselow.28b.*.02,She ran into Spencer and asked out.,LI,76
438,32.3.fanselow.28b.*.07,He grabbed Ryan and tackled.,LI,6
451,32.3.fanselow.58a.g.04,There has been an announcement made in the newspaper.,LI,8
457,32.3.fanselow.58b.*.02,There has been stolen a necklace from the jewelry store.,LI,56
458,32.3.fanselow.58b.*.03,There has been elected a new governor in California.,LI,32
460,32.3.fanselow.58b.*.05,There has been written another story about the new healthcare law.,LI,104
461,32.3.fanselow.58b.*.06,There has been signed a treaty between Israel and Palestine.,LI,4
462,32.3.fanselow.58b.*.07,There has been reached a deal between the two parties.,LI,14
463,32.3.fanselow.58b.*.08,There has been issued a verdict about the new marriage law.,LI,90
466,32.3.fanselow.58c.g.03,There has been a student considered dangerous.,LI,8
470,32.3.fanselow.58c.g.07,There has been a dog considered noisy.,LI,8
490,32.3.fanselow.59b.*.03,He sent a card his mother.,LI,82
491,32.3.fanselow.59b.*.04,She wrote a poem her boyfriend.,LI,2
495,32.3.fanselow.59b.*.08,She picked some flowers Matt.,LI,28
496,32.4.lopez.10a.*.01,We proclaimed to the public John to be a hero.,LI,10
497,32.4.lopez.10a.*.02,We proved to the authorities Susan to be the thief.,LI,24
498,32.4.lopez.10a.*.03,We believed with all our hearts Ben to be innocent.,LI,6
501,32.4.lopez.10a.*.06,We proved to the manager Amelia to be responsible.,LI,12
502,32.4.lopez.10a.*.07,We believed without hesitation Kenneth to be trustworthy.,LI,2
505,32.4.lopez.14b.*.02,We consider there three problems.,LI,2
506,32.4.lopez.14b.*.03,Jack expects there flowers.,LI,56
508,32.4.lopez.14b.*.05,Mr. Simpson considers there danger.,LI,54
509,32.4.lopez.14b.*.06,Ms. Wiggins expected there fireworks.,LI,66
510,32.4.lopez.14b.*.07,Mr. Telford expected there trouble.,LI,64
520,32.4.lopez.9a.g.01,We proclaimed John to the public to be a hero.,LI,2
521,32.4.lopez.9a.g.02,We proved Susan to the authorities to be the thief.,LI,12
523,32.4.lopez.9a.g.04,We alleged Carrie to the police to be guilty.,LI,36
524,32.4.lopez.9a.g.05,We proclaimed Ralph in the newspaper to be generous.,LI,20
525,32.4.lopez.9a.g.06,We proved Amelia to the manager to be responsible.,LI,96
527,32.4.lopez.9a.g.08,We alleged Ellen to the judge to be a liar.,LI,68
530,33.1.denDikken.5a.g.03,I confirmed who would attend the party.,LI,2
533,33.1.denDikken.5a.g.06,I proved who committed the crime.,LI,80
553,33.1.denDikken.62b.*.02,"I don't think that any reporters, I will invite to the event.",LI,36
554,33.1.denDikken.62b.*.03,"I don't believe that any doctors, I will invite to the ceremony.",LI,4
555,33.1.denDikken.62b.*.04,"I don't think that any parents, I will invite to the assembly.",LI,40
556,33.1.denDikken.62b.*.05,"I don't believe that any students, I will take to the conference.",LI,8
557,33.1.denDikken.62b.*.06,"I don't think that any actors, I will take to the game.",LI,2
558,33.1.denDikken.62b.*.07,"I don't believe that any children, I will take to the concert.",LI,6
559,33.1.denDikken.62b.*.08,"I don't think that any musicians, I will take to the office.",LI,2
561,33.1.denDikken.58a.*.02,What at no time did he touch?,LI,24
563,33.1.denDikken.58a.*.04,How much time off in no month should you take?,LI,4
566,33.1.denDikken.58a.*.07,What at no time were the patrons aware of?,LI,22
577,33.1.denDikken.67.g.02,Who the hell asked who out?,LI,106
581,33.1.denDikken.67.g.06,Who the hell brought who to the party?,LI,16
584,33.1.denDikken.71a.*.01,Who is in love with who the hell?,LI,10
586,33.1.denDikken.71a.*.03,Who kissed who the hell?,LI,24
587,33.1.denDikken.71a.*.04,Who screamed at who the hell?,LI,104
588,33.1.denDikken.71a.*.05,Who called who the hell?,LI,82
590,33.1.denDikken.71a.*.07,Who hugged who the hell?,LI,84
591,33.1.denDikken.71a.*.08,Who insulted who the hell?,LI,42
593,33.1.denDikken.72a.g.02,The millionaire didn't leave the hospital a red cent.,LI,20
594,33.1.denDikken.72a.g.03,Shelly didn't loan Mark a red cent.,LI,80
595,33.1.denDikken.72a.g.04,The customer didn't pay the store a red cent.,LI,4
601,33.1.denDikken.72b.*.02,The millionaire didn't leave every hospital a red cent.,LI,6
602,33.1.denDikken.72b.*.03,Shelly didn't loan every business a red cent.,LI,2
603,33.1.denDikken.72b.*.04,The customer didn't pay every store a red cent.,LI,10
624,33.1.fox.65b.*.01,I told you that Bill when we met will come to the party.,LI,48
625,33.1.fox.65b.*.02,I said that Sean at the meeting should organize the fundraiser.,LI,54
627,33.1.fox.65b.*.04,I heard that Kelly from a friend cheated on her boyfriend.,LI,104
631,33.1.fox.65b.*.08,I suggested that Laura when we dated should cut her hair.,LI,4
640,33.1.fox.69a.*.01,John wants for everyone you do to have fun.,LI,42
641,33.1.fox.69a.*.02,Dana hopes for everyone you do to succeed.,LI,32
643,33.1.fox.69a.*.04,Melanie prefers for everyone you do to get a raise.,LI,6
644,33.1.fox.69a.*.05,Kyle expects for everyone you do to be honest.,LI,18
646,33.1.fox.69a.*.07,Ben is hopeful for everyone you do to attend.,LI,100
647,33.1.fox.69a.*.08,Valerie is excited for everyone you do to graduate.,LI,14
648,33.1.fox.69b.g.01,John wants for everyone to have fun that you do.,LI,8
649,33.1.fox.69b.g.02,Dana hopes for everyone to succeed that you do.,LI,28
652,33.1.fox.69b.g.05,Kyle expects for everyone to be honest that you do.,LI,86
653,33.1.fox.69b.g.06,Sophia is anxious for everyone to arrive that you are.,LI,62
654,33.1.fox.69b.g.07,Ben is hopeful for everyone to attend that you are.,LI,52
655,33.1.fox.69b.g.08,Valerie is excited for everyone to graduate that you are.,LI,88
656,33.2.bowers.13a.*.01,John believes to be sick.,LI,84
660,33.2.bowers.13a.*.05,The governor declared to be innocent.,LI,14
662,33.2.bowers.13a.*.07,Mike believes to be a genius.,LI,64
674,33.2.bowers.31a1.g.03,There are likely to be students in the library.,LI,6
690,33.2.bowers.31b1.*.03,There are likely students to be in the library.,LI,82
693,33.2.bowers.31b1.*.06,There seem protesters to be on the campus.,LI,4
695,33.2.bowers.31b1.*.08,There are likely snowboarders to be on the slope.,LI,24
699,33.2.bowers.31c2.*.04,There might fossils seem to be several miles underground.,LI,20
700,33.2.bowers.31c2.*.05,There might leaves appear to be in the yard.,LI,80
701,33.2.bowers.31c2.*.06,There might ghosts appear to be in the library.,LI,108
702,33.2.bowers.31c2.*.07,There might assignments appear to be in the drawer.,LI,32
703,33.2.bowers.31c2.*.08,There might police officers appear to be on campus.,LI,22
712,33.2.bowers.68b.*.01,The politician bribes easily to avoid the draft.,LI,2
714,33.2.bowers.68b.*.03,The safe locks often to protect the jewels.,LI,26
715,33.2.bowers.68b.*.04,The executive fires quickly to appease the shareholders.,LI,86
718,33.2.bowers.68b.*.07,The monument constructs impressively to commemorate the victory.,LI,38
728,33.2.bowers.69b.*.01,The bureaucrat bribes deliberately.,LI,90
730,33.2.bowers.69b.*.03,The employee fires reluctantly.,LI,4
731,33.2.bowers.69b.*.04,The patient examines carefully.,LI,102
734,33.2.bowers.69b.*.07,The book writes truthfully.,LI,14
736,33.2.bowers.7b.*.01,The ball perfectly rolled down the hill.,LI,44
737,33.2.bowers.7b.*.02,John intimately spoke to Mary.,LI,20
740,33.2.bowers.7b.*.05,It suddenly stormed.,LI,76
741,33.2.bowers.7b.*.06,Sam thoroughly cleaned.,LI,62
748,33.2.bowers.7b.g.05,It stormed suddenly.,LI,54
749,33.2.bowers.7b.g.06,Sam cleaned thoroughly.,LI,24
751,33.2.bowers.7b.g.08,The ice melted quickly on the table.,LI,30
768,33.4.neeleman.100.*.01,Yesterday seemed that John left.,LI,14
769,33.4.neeleman.100.*.02,Friday appeared that Maude went home early.,LI,84
770,33.4.neeleman.100.*.03,Next week seems that Juan will be in town.,LI,92
771,33.4.neeleman.100.*.04,Monday appears that Juanita was running late.,LI,88
772,33.4.neeleman.100.*.05,Tomorrow seems that there will be a hurricane.,LI,10
773,33.4.neeleman.100.*.06,Tonight appears that Marjorie is staying over.,LI,14
774,33.4.neeleman.100.*.07,Last week seemed that everyone was calling in sick.,LI,34
775,33.4.neeleman.100.*.08,Next week appears that the strikers will be back to work.,LI,22
777,33.4.neeleman.100.g.02,It appeared that Friday Maude went home early.,LI,4
779,33.4.neeleman.100.g.04,It appears that Monday Juanita was running late.,LI,6
792,33.4.neeleman.18d.*.01,Deciding who to see that new movie next makes very happy.,LI,14
796,33.4.neeleman.18d.*.05,Selecting who to play that new song at the concert makes feel important.,LI,104
798,33.4.neeleman.18d.*.07,Picking who to wear that new suit in the morning makes late to work.,LI,2
800,33.4.neeleman.24d.*.01,Anyone better leave town.,LI,2
801,33.4.neeleman.24d.*.02,Anyone better play soccer.,LI,20
802,33.4.neeleman.24d.*.03,Anyone better make dinner.,LI,50
803,33.4.neeleman.24d.*.04,Anyone better come home.,LI,2
804,33.4.neeleman.24d.*.05,Anyone better evacuate the building.,LI,14
805,33.4.neeleman.24d.*.06,Anyone better run the marathon.,LI,52
806,33.4.neeleman.24d.*.07,Anyone better fly the plane.,LI,100
820,33.4.neeleman.35a.*.05,Who did Kelly wonder who Brian is taking to the prom?,LI,4
823,33.4.neeleman.35a.*.08,What did Ethan wonder what Jack would say about the scandal?,LI,8
834,33.4.neeleman.97a.g.03,Which car did you crash after buying?,LI,6
835,33.4.neeleman.97a.g.04,Which coworker did George compliment before insulting?,LI,2
840,33.4.neeleman.97b.*.01,Which book did you sleep before reading?,LI,8
842,33.4.neeleman.97b.*.03,Which car did you worry after buying?,LI,8
843,33.4.neeleman.97b.*.04,Which coworker did George yawn before insulting?,LI,64
844,33.4.neeleman.97b.*.05,Which candidate did Nicole swim after voting for?,LI,4
846,33.4.neeleman.97b.*.07,Which shirt did you laugh without trying on?,LI,74
847,33.4.neeleman.97b.*.08,Which song did you nap without recognizing?,LI,94
848,34.1.basilico.44a.?.01,Who did you see steal the wallet?,LI,2
849,34.1.basilico.44a.?.02,Who did they see tag the wall?,LI,56
850,34.1.basilico.44a.?.03,Who did she hear insult the manager?,LI,2
851,34.1.basilico.44a.?.04,Who did we hear scream at the neighbors?,LI,98
852,34.1.basilico.44a.?.05,Who did she see punch Alex?,LI,88
853,34.1.basilico.44a.?.06,Who did I see hug Natalie?,LI,26
854,34.1.basilico.44a.?.07,Who did they see take the cookie?,LI,10
856,34.1.basilico.44b.*.01,Who was seen steal the wallet?,LI,30
863,34.1.basilico.44b.*.08,Who was seen cut the wire?,LI,98
865,34.1.basilico.62.*.02,There are fishermen proud.,LI,6
866,34.1.basilico.62.*.03,There are books thick.,LI,104
868,34.1.basilico.62.*.05,There are firemen brave.,LI,84
869,34.1.basilico.62.*.06,There are programs difficult.,LI,66
870,34.1.basilico.62.*.07,There are laptops heavy.,LI,94
873,34.1.basilico.62.g.02,There are fisherman sick.,LI,6
896,34.1.fox.14.*.01,What do you worry if the lawyer forgets at the office?,LI,16
897,34.1.fox.14.*.02,What do you laugh if the heiress buys at the auction?,LI,12
898,34.1.fox.14.*.03,What do you worry if the boss leaves in the car?,LI,16
899,34.1.fox.14.*.04,What do you blush if the child prodigy submits to the art contest?,LI,104
900,34.1.fox.14.*.05,What do you sneeze if the dog owner leaves open at night?,LI,106
902,34.1.fox.14.*.07,What do you object if the janitor erases from the blackboard?,LI,14
905,34.1.fox.14.g.02,What do you wish that the heiress bought at the auction?,LI,92
909,34.1.fox.14.g.06,What do you complain that the neighbor turns on at night?,LI,72
918,34.1.fox.19.g.07,"It appears that a one of the criminals will confess, but which criminal is still unknown.",LI,102
934,34.1.fox.24.*.07,"It appears that a one of the criminals will confess, but which criminal it does is still unknown.",LI,100
944,34.1.fox.27.g.01,"They said they heard about a Balkan language, but I don't know which Balkan language.",LI,44
946,34.1.fox.27.g.03,"Steven said he read about a new hybrid car, but I don't know which car.",LI,4
948,34.1.fox.27.g.05,"Melissa said she read about one of Shakespeare's plays, but I don't know which play.",LI,2
951,34.1.fox.27.g.08,"Brandon said he requested one of the tutors, but I don't which tutor.",LI,10
952,34.1.fox.28.*.01,"They said they heard about a Balkan language, but I don't know which Balkan language they did.",LI,6
959,34.1.fox.28.*.08,"Brandon said he requested one of the tutors, but I don't which tutor he did.",LI,30
969,34.1.phillips.3e.*.02,Each other hugged Matthew and Jennifer.,LI,2
970,34.1.phillips.3e.*.03,Each other hurt Stephanie and Christopher.,LI,6
971,34.1.phillips.3e.*.04,Each other saw Amber and William.,LI,82
972,34.1.phillips.3e.*.05,Each other found Eric and Amy.,LI,84
973,34.1.phillips.3e.*.06,Each other love Kelly and Aaron.,LI,4
974,34.1.phillips.3e.*.07,Each other hate Richard and Christine.,LI,4
