,id,sentence,num_flips,flip_rate
48,32.1.martin.26a.??.01,Ginny remembered to have bought the beer.,4,0.4
51,32.1.martin.26a.??.04,Bobby planned to have attended college.,10,1.0
53,32.1.martin.26a.??.06,Scott intended to have run for class president.,12,1.2
54,32.1.martin.26a.??.07,Vanessa refused to have taken out the garbage.,2,0.2
55,32.1.martin.26a.??.08,Michael managed to have driven his car.,10,1.0
57,32.1.martin.26b.??.02,Joe convinced Sue to have eaten her lunch.,2,0.2
58,32.1.martin.26b.??.03,Juan convinced Maria to have finished her shopping.,6,0.6
63,32.1.martin.26b.??.08,Mindy convinced George to have finished the novel.,4,0.4
80,32.1.martin.2c.*.01,Sarah saw pictures of.,10,1.0
81,32.1.martin.2c.*.02,Jimmy saw baskets of.,6,0.6
83,32.1.martin.2c.*.04,Frank ate mountains of.,4,0.4
85,32.1.martin.2c.*.06,Phillip saw movies of.,10,1.0
86,32.1.martin.2c.*.07,Vivian wrote stories of.,10,1.0
87,32.1.martin.2c.*.08,Tommy pictured memories of.,12,1.2
88,32.1.martin.39a.*.01,Gino believed Rebecca to win the game.,2,0.2
89,32.1.martin.39a.*.02,Anthony believed Dawn to hit the ball.,2,0.2
91,32.1.martin.39a.*.04,Marty believed Carla to fix the computer.,4,0.4
92,32.1.martin.39a.*.05,Jessica believed Brad to start the car.,2,0.2
95,32.1.martin.39a.*.08,Victor believed Dana to throw the trash.,4,0.4
106,32.1.martin.65b.*.03,Bill heard from Sarah their boss was fired.,8,0.8
121,32.1.martin.66b.*.02,It is not wise one to skip class.,6,0.6
136,32.1.martin.69b.*.01,My belief Kim is clever is sincere.,4,0.4
137,32.1.martin.69b.*.02,The thought Brian is inept is accurate.,8,0.8
144,32.1.martin.77.g.01,How likely to win the race is John?,4,0.4
145,32.1.martin.77.g.02,How likely to get the promotion is Elizabeth?,12,1.2
146,32.1.martin.77.g.03,How likely to win the election is Kristin?,2,0.2
147,32.1.martin.77.g.04,How likely to buy the car is Sam?,12,1.2
148,32.1.martin.77.g.05,How likely to sell the house is Diane?,6,0.6
149,32.1.martin.77.g.06,How likely to pass the class is Alex?,4,0.4
150,32.1.martin.77.g.07,How likely to break the record is Ellen?,4,0.4
151,32.1.martin.77.g.08,How likely to take the job is Nancy?,10,1.0
152,32.1.martin.79.*.01,How likely to be a riot is there?,8,0.8
153,32.1.martin.79.*.02,How likely to be a meeting is there?,8,0.8
154,32.1.martin.79.*.03,How likely to be a strike is there?,12,1.2
155,32.1.martin.79.*.04,How likely to be a party is there?,8,0.8
156,32.1.martin.79.*.05,How likely to be a stock market crash is there?,2,0.2
157,32.1.martin.79.*.06,How likely to be a storm is there?,14,1.4
158,32.1.martin.79.*.07,How likely to be an earthquake is there?,8,0.8
159,32.1.martin.79.*.08,How likely to be a tornado is there?,8,0.8
174,32.1.martin.93b.*.07,Dylan was planned to write the computer program.,2,0.2
175,32.1.martin.93b.*.08,Carla was hoped to graduate high school.,4,0.4
176,32.2.alexiadou.31a.*.01,Don't touch that dial! suggested abruptly the TV screen.,2,0.2
177,32.2.alexiadou.31a.*.02,Wait one moment please! asked kindly the voice recording.,10,1.0
181,32.2.alexiadou.31a.*.06,Stop bullying me! shouted fearfully the overweight child.,2,0.2
182,32.2.alexiadou.31a.*.07,Touchdown! screamed excitedly the football fan.,6,0.6
183,32.2.alexiadou.31a.*.08,Clear! exclaimed worriedly the doctor.,8,0.8
185,32.2.alexiadou.31b.g.02,Wait one moment please! asked the voice recording kindly.,6,0.6
186,32.2.alexiadou.31b.g.03,This just in! interrupted the radio announcer hastily.,2,0.2
188,32.2.alexiadou.31b.g.05,Click it or Ticket! flashed the freeway sign brightly.,6,0.6
192,32.2.boeckx.11.*.01,"Debbie ate chocolate, and Kathy milk drank.",2,0.2
194,32.2.boeckx.11.*.03,"Jack washed the dishes, and Kate the laundry folded.",2,0.2
196,32.2.boeckx.11.*.05,"Mark turned on the TV, and Penny the DVD player loaded.",2,0.2
217,32.2.nunes.3a2.g.02,The book was read.,2,0.2
243,32.2.nunes.48b.*.04,Daniel jogged the gym and Kayla walked to the restaurant.,4,0.4
269,32.2.stroik.13b.*.06,They all have studied and they have done all so effectively.,4,0.4
270,32.2.stroik.13b.*.07,They all have spoken and they have done all so eloquently.,2,0.2
271,32.2.stroik.13b.*.08,They all have listened and they have done all so intently.,10,1.0
304,32.3.Culicover.15bii.*.01,John flattered Mary while insulting herself.,8,0.8
305,32.3.Culicover.15bii.*.02,Amber called Anthony after injuring himself.,2,0.2
306,32.3.Culicover.15bii.*.03,Tim complimented Hannah after introducing herself.,6,0.6
307,32.3.Culicover.15bii.*.04,Tina aggravated Ethan while amusing himself.,6,0.6
308,32.3.Culicover.15bii.*.05,Natalie surprised Jared while boring himself.,4,0.4
309,32.3.Culicover.15bii.*.06,Dale found Brooke after frightening herself.,8,0.8
310,32.3.Culicover.15bii.*.07,Molly avoided Keith after embarrassing himself.,2,0.2
311,32.3.Culicover.15bii.*.08,Josh annoyed Paige while distracting herself.,6,0.6
316,32.3.Culicover.15bii.g.05,Natalie surprised Jared while boring herself.,6,0.6
317,32.3.Culicover.15bii.g.06,Dale found Brooke after frightening himself.,4,0.4
320,32.3.Culicover.22b.*.01,John told Sue when to wash himself.,10,1.0
321,32.3.Culicover.22b.*.02,Marcy told Jeremy when to excuse herself.,6,0.6
323,32.3.Culicover.22b.*.04,Robert told Lucy when to humiliate himself.,10,1.0
324,32.3.Culicover.22b.*.05,Stewart told Tina when to burn himself.,10,1.0
325,32.3.Culicover.22b.*.06,Brian told Rachel when to defend himself.,8,0.8
326,32.3.Culicover.22b.*.07,Patty told Mike when to insult herself.,4,0.4
327,32.3.Culicover.22b.*.08,Olivia told Gregory when to exonerate herself.,12,1.2
328,32.3.Culicover.22b.g.01,John told Sue when to wash herself.,4,0.4
330,32.3.Culicover.22b.g.03,Mindy told Chuck when to praise herself.,8,0.8
331,32.3.Culicover.22b.g.04,Robert told Lucy when to humiliate herself.,2,0.2
332,32.3.Culicover.22b.g.05,Stewart told Tina when to burn herself.,6,0.6
333,32.3.Culicover.22b.g.06,Brian told Rachel when to defend herself.,2,0.2
335,32.3.Culicover.22b.g.08,Olivia told Gregory when to exonerate himself.,2,0.2
336,32.3.Culicover.25d.*.01,Last night there was an attempt to shoot oneself.,2,0.2
341,32.3.Culicover.25d.*.06,Last Tuesday there was an agreement to replace oneself.,2,0.2
355,32.3.Culicover.28c.*.04,Emma brought video games in order for us to distract herself.,2,0.2
359,32.3.Culicover.28c.*.08,Gary interrupted the conversation in order for us to introduce himself.,2,0.2
368,32.3.Culicover.32a.*.01,John's promise to Susan to take care of herself.,6,0.6
370,32.3.Culicover.32a.*.03,Ryan's offer to Susan to take care of herself.,4,0.4
371,32.3.Culicover.32a.*.04,Natalie's guarantee to Robert to take care of himself.,10,1.0
372,32.3.Culicover.32a.*.05,Ethan's obligation to Patricia to take care of herself.,6,0.6
374,32.3.Culicover.32a.*.07,Carl's pledge to Jenny to take care of herself.,6,0.6
376,32.3.Culicover.32a.g.01,John's promise to Susan to take care of himself.,6,0.6
377,32.3.Culicover.32a.g.02,Erica's vow to Matt to take care of herself.,8,0.8
378,32.3.Culicover.32a.g.03,Ryan's offer to Susan to take care of himself.,8,0.8
379,32.3.Culicover.32a.g.04,Natalie's guarantee to Robert to take care of herself.,2,0.2
380,32.3.Culicover.32a.g.05,Ethan's obligation to Patricia to take care of himself.,6,0.6
381,32.3.Culicover.32a.g.06,Debbie's pledge to Jason to take care of herself.,6,0.6
382,32.3.Culicover.32a.g.07,Carl's pledge to Jenny to take care of himself.,2,0.2
383,32.3.Culicover.32a.g.08,Melissa's pledge to Dan to take care of herself.,4,0.4
384,32.3.Culicover.41b.*.01,Toby said to Sally to take care of himself.,8,0.8
385,32.3.Culicover.41b.*.02,Veronica shouted to Nathan to look after herself.,4,0.4
387,32.3.Culicover.41b.*.04,Stacey screamed to Anthony to cover herself.,6,0.6
388,32.3.Culicover.41b.*.05,Brent signaled to Samantha to excuse himself.,10,1.0
389,32.3.Culicover.41b.*.06,Amy said to Shane to entertain herself.,4,0.4
390,32.3.Culicover.41b.*.07,Eric shouted to Maria to believe in himself.,8,0.8
391,32.3.Culicover.41b.*.08,Tania signaled to Frank to behave herself.,4,0.4
392,32.3.Culicover.41b.g.01,Toby said to Sally to take care of herself.,4,0.4
393,32.3.Culicover.41b.g.02,Veronica shouted to Nathan to look after himself.,6,0.6
394,32.3.Culicover.41b.g.03,Christopher yelled to April to protect herself.,10,1.0
397,32.3.Culicover.41b.g.06,Amy said to Shane to entertain himself.,6,0.6
398,32.3.Culicover.41b.g.07,Eric shouted to Maria to believe in herself.,4,0.4
400,32.3.Culicover.49a.*.01,Jack asked Sally to be allowed to take care of herself.,6,0.6
402,32.3.Culicover.49a.*.03,Dean requested Michelle to be allowed to take care of herself.,10,1.0
405,32.3.Culicover.49a.*.06,Jake prayed to mother nature to be allowed to take care of herself.,2,0.2
406,32.3.Culicover.49a.*.07,Katie asked Greg to be allowed to take care of himself.,2,0.2
408,32.3.Culicover.49a.g.01,Jack asked Sally to be allowed to take care of himself.,2,0.2
409,32.3.Culicover.49a.g.02,Beth begged Peter to be allowed to take care of herself.,2,0.2
411,32.3.Culicover.49a.g.04,Eva beseeched Luke to be allowed to take care of herself.,4,0.4
412,32.3.Culicover.49a.g.05,Helen pleaded with Kyle to be allowed to take care of herself.,4,0.4
413,32.3.Culicover.49a.g.06,Jake prayed to mother nature to be allowed to take care of himself.,2,0.2
415,32.3.Culicover.49a.g.08,Leonard begged Jennifer to be allowed to take care of himself.,2,0.2
424,32.3.Culicover.7b.*.01,John tried himself to win.,4,0.4
425,32.3.Culicover.7b.*.02,Kelly attempted herself to run the marathon.,8,0.8
427,32.3.Culicover.7b.*.04,Linda remembered herself to pick-up the dry cleaning.,8,0.8
428,32.3.Culicover.7b.*.05,Peter hoped himself to find a date.,6,0.6
429,32.3.Culicover.7b.*.06,Patricia agreed herself to host the party.,2,0.2
430,32.3.Culicover.7b.*.07,Alex started himself to study Karate.,2,0.2
431,32.3.Culicover.7b.*.08,Cindy struggled herself to finish her homework.,6,0.6
432,32.3.fanselow.28b.*.01,He saw Mary and kissed.,12,1.2
433,32.3.fanselow.28b.*.02,She ran into Spencer and asked out.,8,0.8
457,32.3.fanselow.58b.*.02,There has been stolen a necklace from the jewelry store.,10,1.0
458,32.3.fanselow.58b.*.03,There has been elected a new governor in California.,8,0.8
459,32.3.fanselow.58b.*.04,There has been made an announcement in the newspaper.,2,0.2
460,32.3.fanselow.58b.*.05,There has been written another story about the new healthcare law.,8,0.8
461,32.3.fanselow.58b.*.06,There has been signed a treaty between Israel and Palestine.,4,0.4
462,32.3.fanselow.58b.*.07,There has been reached a deal between the two parties.,8,0.8
463,32.3.fanselow.58b.*.08,There has been issued a verdict about the new marriage law.,8,0.8
479,32.3.fanselow.58d.*.08,There has been considered a book obscene.,2,0.2
487,32.3.fanselow.59a.g.08,She picked Matt some flowers.,2,0.2
492,32.3.fanselow.59b.*.05,He served the wine the guests.,2,0.2
497,32.4.lopez.10a.*.02,We proved to the authorities Susan to be the thief.,2,0.2
498,32.4.lopez.10a.*.03,We believed with all our hearts Ben to be innocent.,2,0.2
499,32.4.lopez.10a.*.04,We alleged to the police Carrie to be guilty.,4,0.4
505,32.4.lopez.14b.*.02,We consider there three problems.,4,0.4
506,32.4.lopez.14b.*.03,Jack expects there flowers.,2,0.2
508,32.4.lopez.14b.*.05,Mr. Simpson considers there danger.,2,0.2
509,32.4.lopez.14b.*.06,Ms. Wiggins expected there fireworks.,4,0.4
510,32.4.lopez.14b.*.07,Mr. Telford expected there trouble.,4,0.4
511,32.4.lopez.14b.*.08,Miss Warrington expects there a party.,2,0.2
523,32.4.lopez.9a.g.04,We alleged Carrie to the police to be guilty.,2,0.2
527,32.4.lopez.9a.g.08,We alleged Ellen to the judge to be a liar.,6,0.6
530,33.1.denDikken.5a.g.03,I confirmed who would attend the party.,8,0.8
533,33.1.denDikken.5a.g.06,I proved who committed the crime.,6,0.6
535,33.1.denDikken.5a.g.08,I established who would head the committee.,2,0.2
554,33.1.denDikken.62b.*.03,"I don't believe that any doctors, I will invite to the ceremony.",2,0.2
556,33.1.denDikken.62b.*.05,"I don't believe that any students, I will take to the conference.",4,0.4
557,33.1.denDikken.62b.*.06,"I don't think that any actors, I will take to the game.",6,0.6
558,33.1.denDikken.62b.*.07,"I don't believe that any children, I will take to the concert.",6,0.6
559,33.1.denDikken.62b.*.08,"I don't think that any musicians, I will take to the office.",6,0.6
561,33.1.denDikken.58a.*.02,What at no time did he touch?,8,0.8
577,33.1.denDikken.67.g.02,Who the hell asked who out?,14,1.4
584,33.1.denDikken.71a.*.01,Who is in love with who the hell?,2,0.2
586,33.1.denDikken.71a.*.03,Who kissed who the hell?,4,0.4
587,33.1.denDikken.71a.*.04,Who screamed at who the hell?,8,0.8
588,33.1.denDikken.71a.*.05,Who called who the hell?,6,0.6
590,33.1.denDikken.71a.*.07,Who hugged who the hell?,10,1.0
591,33.1.denDikken.71a.*.08,Who insulted who the hell?,8,0.8
593,33.1.denDikken.72a.g.02,The millionaire didn't leave the hospital a red cent.,4,0.4
601,33.1.denDikken.72b.*.02,The millionaire didn't leave every hospital a red cent.,10,1.0
608,33.1.fox.49b.g.01,I visited a city yesterday near the city that John did.,4,0.4
609,33.1.fox.49b.g.02,Josie read a book last week like the book that Cindy did.,4,0.4
613,33.1.fox.49b.g.06,Joan bought a last year house next to the house that Erin did.,6,0.6
615,33.1.fox.49b.g.08,I received a gift two weeks ago like the gift that Aaron did.,8,0.8
616,33.1.fox.49c.*.01,I visited a city near the city yesterday that John did.,4,0.4
622,33.1.fox.49c.*.07,We found a dog like the dog last month that Nathan did.,2,0.2
624,33.1.fox.65b.*.01,I told you that Bill when we met will come to the party.,8,0.8
627,33.1.fox.65b.*.04,I heard that Kelly from a friend cheated on her boyfriend.,2,0.2
629,33.1.fox.65b.*.06,I wrote that Thomas in an email would administer the exam.,4,0.4
644,33.1.fox.69a.*.05,Kyle expects for everyone you do to be honest.,2,0.2
646,33.1.fox.69a.*.07,Ben is hopeful for everyone you do to attend.,8,0.8
647,33.1.fox.69a.*.08,Valerie is excited for everyone you do to graduate.,4,0.4
648,33.1.fox.69b.g.01,John wants for everyone to have fun that you do.,2,0.2
649,33.1.fox.69b.g.02,Dana hopes for everyone to succeed that you do.,6,0.6
653,33.1.fox.69b.g.06,Sophia is anxious for everyone to arrive that you are.,10,1.0
654,33.1.fox.69b.g.07,Ben is hopeful for everyone to attend that you are.,2,0.2
655,33.1.fox.69b.g.08,Valerie is excited for everyone to graduate that you are.,10,1.0
658,33.2.bowers.13a.*.03,The judge acknowledged to be an expert.,2,0.2
660,33.2.bowers.13a.*.05,The governor declared to be innocent.,2,0.2
661,33.2.bowers.13a.*.06,Katie revealed to be a liar.,2,0.2
662,33.2.bowers.13a.*.07,Mike believes to be a genius.,2,0.2
671,33.2.bowers.13a.g.08,Larry took Monica to be honest.,8,0.8
690,33.2.bowers.31b1.*.03,There are likely students to be in the library.,8,0.8
693,33.2.bowers.31b1.*.06,There seem protesters to be on the campus.,4,0.4
695,33.2.bowers.31b1.*.08,There are likely snowboarders to be on the slope.,6,0.6
701,33.2.bowers.31c2.*.06,There might ghosts appear to be in the library.,8,0.8
703,33.2.bowers.31c2.*.08,There might police officers appear to be on campus.,2,0.2
713,33.2.bowers.68b.*.02,The flowers plant seasonally to attract hummingbirds.,2,0.2
715,33.2.bowers.68b.*.04,The executive fires quickly to appease the shareholders.,4,0.4
728,33.2.bowers.69b.*.01,The bureaucrat bribes deliberately.,4,0.4
729,33.2.bowers.69b.*.02,The victim deceives intentionally.,2,0.2
730,33.2.bowers.69b.*.03,The employee fires reluctantly.,10,1.0
733,33.2.bowers.69b.*.06,The vase paints carelessly.,14,1.4
736,33.2.bowers.7b.*.01,The ball perfectly rolled down the hill.,2,0.2
737,33.2.bowers.7b.*.02,John intimately spoke to Mary.,8,0.8
739,33.2.bowers.7b.*.04,It torrentially rained.,8,0.8
740,33.2.bowers.7b.*.05,It suddenly stormed.,10,1.0
748,33.2.bowers.7b.g.05,It stormed suddenly.,10,1.0
749,33.2.bowers.7b.g.06,Sam cleaned thoroughly.,4,0.4
770,33.4.neeleman.100.*.03,Next week seems that Juan will be in town.,10,1.0
773,33.4.neeleman.100.*.06,Tonight appears that Marjorie is staying over.,8,0.8
774,33.4.neeleman.100.*.07,Last week seemed that everyone was calling in sick.,8,0.8
775,33.4.neeleman.100.*.08,Next week appears that the strikers will be back to work.,4,0.4
779,33.4.neeleman.100.g.04,It appears that Monday Juanita was running late.,4,0.4
792,33.4.neeleman.18d.*.01,Deciding who to see that new movie next makes very happy.,12,1.2
793,33.4.neeleman.18d.*.02,Picking who to read that new book next gives a lot of pleasure.,12,1.2
794,33.4.neeleman.18d.*.03,Choosing who to visit that new restaurant next gives a headache.,6,0.6
795,33.4.neeleman.18d.*.04,Selecting who to take that new class next causes stress.,2,0.2
798,33.4.neeleman.18d.*.07,Picking who to wear that new suit in the morning makes late to work.,2,0.2
804,33.4.neeleman.24d.*.05,Anyone better evacuate the building.,2,0.2
822,33.4.neeleman.35a.*.07,What did Courtney wonder what Sharon will wear on her date?,2,0.2
823,33.4.neeleman.35a.*.08,What did Ethan wonder what Jack would say about the scandal?,4,0.4
839,33.4.neeleman.97a.g.08,Which song did you download without recognizing?,12,1.2
840,33.4.neeleman.97b.*.01,Which book did you sleep before reading?,8,0.8
842,33.4.neeleman.97b.*.03,Which car did you worry after buying?,6,0.6
844,33.4.neeleman.97b.*.05,Which candidate did Nicole swim after voting for?,6,0.6
845,33.4.neeleman.97b.*.06,Which book did you resign before finishing?,12,1.2
846,33.4.neeleman.97b.*.07,Which shirt did you laugh without trying on?,4,0.4
847,33.4.neeleman.97b.*.08,Which song did you nap without recognizing?,10,1.0
850,34.1.basilico.44a.?.03,Who did she hear insult the manager?,8,0.8
851,34.1.basilico.44a.?.04,Who did we hear scream at the neighbors?,6,0.6
852,34.1.basilico.44a.?.05,Who did she see punch Alex?,4,0.4
856,34.1.basilico.44b.*.01,Who was seen steal the wallet?,8,0.8
858,34.1.basilico.44b.*.03,Who was heard insult the manager?,12,1.2
860,34.1.basilico.44b.*.05,Who was seen punch Alex?,10,1.0
861,34.1.basilico.44b.*.06,Who was seen hug Natalie?,8,0.8
862,34.1.basilico.44b.*.07,Who was seen take the cookie?,8,0.8
863,34.1.basilico.44b.*.08,Who was seen cut the wire?,8,0.8
864,34.1.basilico.62.*.01,There are linguists tall.,2,0.2
865,34.1.basilico.62.*.02,There are fishermen proud.,12,1.2
866,34.1.basilico.62.*.03,There are books thick.,10,1.0
867,34.1.basilico.62.*.04,There are leaves green.,4,0.4
868,34.1.basilico.62.*.05,There are firemen brave.,6,0.6
870,34.1.basilico.62.*.07,There are laptops heavy.,8,0.8
871,34.1.basilico.62.*.08,There are trucks large.,6,0.6
873,34.1.basilico.62.g.02,There are fisherman sick.,10,1.0
874,34.1.basilico.62.g.03,There are books accessible.,6,0.6
880,34.1.basilico.96a.??.01,The children almost all are sleeping.,6,0.6
896,34.1.fox.14.*.01,What do you worry if the lawyer forgets at the office?,8,0.8
897,34.1.fox.14.*.02,What do you laugh if the heiress buys at the auction?,2,0.2
898,34.1.fox.14.*.03,What do you worry if the boss leaves in the car?,8,0.8
899,34.1.fox.14.*.04,What do you blush if the child prodigy submits to the art contest?,2,0.2
903,34.1.fox.14.*.08,What do you complain if the office manager keeps in her office?,4,0.4
928,34.1.fox.24.*.01,"It appears that a certain senator will resign, but which senator it does is still a secret.",10,1.0
929,34.1.fox.24.*.02,"It seems that a certain official will divulge the information, but which official it does is still a mystery.",8,0.8
930,34.1.fox.24.*.03,"It seems that one of the employees will steal, but which employee it does is still not known.",6,0.6
931,34.1.fox.24.*.04,"It seems that a certain student will cheat, but which student it does is still unknown.",8,0.8
932,34.1.fox.24.*.05,"It appears that a certain player will leave the team, but which player it does is still a secret.",4,0.4
